City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
77,morant bay,17.8815,-76.4093,27.79,52,5,3.78,JM,1708711055
78,whitehorse,60.7161,-135.0538,-4.57,54,75,1.54,CA,1708711055
79,morondava,-20.2833,44.2833,28.63,77,99,2.47,MG,1708711055
80,prince george,53.9166,-122.753,1.81,82,100,9.26,CA,1708711052
81,withamsville,39.0623,-84.2883,14.26,61,0,6.17,US,1708711056
82,coahuayana de hidalgo,18.7,-103.6583,30.79,47,3,2.87,MX,1708711056
83,jamestown,42.097,-79.2353,11.68,59,30,3.58,US,1708710771
84,smithers,54.7804,-127.1743,1.18,75,75,1.03,CA,1708710927
85,punta del este,-34.9667,-54.95,28.06,85,20,5.66,UY,1708711059
86,port douglas,-16.4833,145.4667,26.02,87,50,2.63,AU,1708711059
87,kichmengskiy gorodok,59.9816,45.7854,-5.03,89,100,4.47,RU,1708711059
88,albany,42.6001,-73.9662,6.47,83,100,0.45,US,1708711059
89,truro,50.2653,-5.0544,6.6,79,40,9.26,GB,1708711060
90,kyshtovka,56.555,76.6271,-27.03,99,79,1.79,RU,1708711060
91,nova sintra,14.8667,-24.7167,21.46,69,97,7.12,CV,1708711060
92,la'ie,21.6477,-157.9253,23.98,73,80,3.13,US,1708711061
93,bredasdorp,-34.5322,20.0403,19.5,74,21,4.51,ZA,1708711061
94,nemuro,43.3236,145.575,-7.74,60,89,4.31,JP,1708711061
95,mugia,43.1041,-9.2179,8.84,70,95,14.22,ES,1708711062
96,pokachi,61.7198,75.3683,-17.04,97,95,3.71,RU,1708711062
97,remire-montjoly,4.9167,-52.2667,31.02,66,40,6.17,GF,1708711062
98,soeng sang,14.4264,102.4606,26.71,66,49,2.47,TH,1708711062
99,mount gambier,-37.8333,140.7667,11.41,84,82,2.18,AU,1708711063
100,constantia,44.1833,28.65,10.39,87,31,7.13,RO,1708710845
101,polyarnyy,69.1989,33.4478,1.99,81,100,9.63,RU,1708711063
102,el granada,37.5027,-122.4694,14.89,77,0,4.63,US,1708711064
103,stanley,54.868,-1.6985,4.77,80,87,2.84,GB,1708710770
104,dimitrovgrad,54.2139,49.6184,-21.34,97,24,2.15,RU,1708711064
105,kodiak,57.79,-152.4072,-8.27,86,0,2.57,US,1708711064
106,weno,7.4515,151.8468,26.97,94,100,4.12,FM,1708711064
107,qaqortoq,60.7167,-46.0333,-8.27,71,37,1.46,GL,1708711065
108,jieshi,22.8134,115.8257,17.27,83,93,8.83,CN,1708711065
109,vilyuchinsk,52.9306,158.4028,-16.15,85,82,4.04,RU,1708711066
110,san andres,12.5847,-81.7006,27.01,65,40,2.06,CO,1708711066
111,bobo-dioulasso,11.1771,-4.2979,35.25,5,0,2.57,BF,1708711066
112,ikalamavony,-21.15,46.5833,22.01,89,100,2.36,MG,1708711066
113,longyearbyen,78.2186,15.6401,-3.09,63,75,1.54,SJ,1708710774
114,codrington,-38.2667,141.9667,14.2,70,89,4.6,AU,1708711067
115,tsiombe,-25.3,45.4833,24.16,84,0,6.78,MG,1708711067
116,laguna,38.421,-121.4238,15.35,82,0,3.09,US,1708711067
117,moree,-29.4667,149.85,25.49,63,100,0.87,AU,1708711067
118,valparaiso,-33.0393,-71.6273,26.13,61,0,5.14,CL,1708711067
119,saipan,15.1355,145.701,26.39,83,100,5.14,MP,1708710850
120,fort mcmurray,56.7268,-111.381,4.77,52,0,8.23,CA,1708711068
121,la passe,45.5549,-0.8967,7.13,76,99,11.18,FR,1708711068
122,mandal,25.45,74.5667,15.36,22,0,0.51,IN,1708711068
123,tual,-5.6667,132.75,28.35,79,59,5.35,ID,1708711068
124,xuanzhou,30.9525,118.7553,-1.38,95,100,2.03,CN,1708711069
